Data Term,Data Year,Row,Term Type,Updated,County Count,County,Data Term,Latitude (generated),Longitude (generated),Rank of Headcount Rank,Headcount
Fall 2018,2018,37079,Fall,9/4/18,1,Greene,Fall 2018,35.4999,-77.6675,88,9
Fall 2018,2018,37077,Fall,9/4/18,1,Granville,Fall 2018,36.2968,-78.6558,42,66
Fall 2018,2018,37075,Fall,9/4/18,1,Graham,Fall 2018,35.342,-83.8333,98,2
Fall 2018,2018,37073,Fall,9/4/18,1,Gates,Fall 2018,36.4284,-76.7105,94,5
Fall 2018,2018,37071,Fall,9/4/18,1,Gaston,Fall 2018,35.2834,-81.1822,14,255
Fall 2018,2018,37069,Fall,9/4/18,1,Franklin,Fall 2018,36.0416,-78.3303,50,43
Fall 2018,2018,37067,Fall,9/4/18,1,Forsyth,Fall 2018,36.1176,-80.2522,6,566
Fall 2018,2018,37065,Fall,9/4/18,1,Edgecombe,Fall 2018,35.9136,-77.578,68,22
Fall 2018,2018,37063,Fall,9/4/18,1,Durham,Fall 2018,36.0511,-78.8681,5,591
Fall 2018,2018,37061,Fall,9/4/18,1,Duplin,Fall 2018,34.951,-77.9078,46,49
Fall 2018,2018,37059,Fall,9/4/18,1,Davie,Fall 2018,35.9021,-80.5375,44,58
Fall 2018,2018,37057,Fall,9/4/18,1,Davidson,Fall 2018,35.7656,-80.2531,21,140
Fall 2018,2018,37055,Fall,9/4/18,1,Dare,Fall 2018,35.7741,-75.8627,39,69
Fall 2018,2018,37053,Fall,9/4/18,1,Currituck,Fall 2018,36.3115,-75.9312,70,20
Fall 2018,2018,37051,Fall,9/4/18,1,Cumberland,Fall 2018,35.051,-78.8717,10,362
Fall 2018,2018,37049,Fall,9/4/18,1,Craven,Fall 2018,35.2382,-77.1841,28,96
Fall 2018,2018,37047,Fall,9/4/18,1,Columbus,Fall 2018,34.215,-78.6198,59,34
Fall 2018,2018,37045,Fall,9/4/18,1,Cleveland,Fall 2018,35.3743,-81.5594,25,107
Fall 2018,2018,37043,Fall,9/4/18,1,Clay,Fall 2018,35.0738,-83.7498,77,14
Fall 2018,2018,37041,Fall,9/4/18,1,Chowan,Fall 2018,36.1793,-76.6506,71,18
Fall 2018,2018,37039,Fall,9/4/18,1,Cherokee,Fall 2018,35.1398,-84.0769,80,12
Fall 2018,2018,37037,Fall,9/4/18,1,Chatham,Fall 2018,35.678,-79.2599,16,176
Fall 2018,2018,37035,Fall,9/4/18,1,Catawba,Fall 2018,35.6888,-81.2042,15,210
Fall 2018,2018,37033,Fall,9/4/18,1,Caswell,Fall 2018,36.3928,-79.3352,88,9
Fall 2018,2018,37031,Fall,9/4/18,1,Carteret,Fall 2018,34.8384,-76.6488,38,71
Fall 2018,2018,37029,Fall,9/4/18,1,Camden,Fall 2018,36.3576,-76.171,82,11
Fall 2018,2018,37027,Fall,9/4/18,1,Caldwell,Fall 2018,35.9399,-81.5596,35,75
Fall 2018,2018,37025,Fall,9/4/18,1,Cabarrus,Fall 2018,35.3455,-80.5464,11,332
Fall 2018,2018,37023,Fall,9/4/18,1,Burke,Fall 2018,35.7795,-81.7535,34,80
Fall 2018,2018,37021,Fall,9/4/18,1,Buncombe,Fall 2018,35.6207,-82.5391,8,422
Fall 2018,2018,37019,Fall,9/4/18,1,Brunswick,Fall 2018,34.1198,-78.2512,30,85
Fall 2018,2018,37017,Fall,9/4/18,1,Bladen,Fall 2018,34.6121,-78.5716,75,15
Fall 2018,2018,37015,Fall,9/4/18,1,Bertie,Fall 2018,36.03,-76.985,82,11
Fall 2018,2018,37013,Fall,9/4/18,1,Beaufort,Fall 2018,35.4781,-76.6975,57,35
Fall 2018,2018,37011,Fall,9/4/18,1,Avery,Fall 2018,36.0994,-81.9277,71,18
Fall 2018,2018,37009,Fall,9/4/18,1,Ashe,Fall 2018,36.4146,-81.4996,64,24
Fall 2018,2018,37007,Fall,9/4/18,1,Anson,Fall 2018,35.0087,-80.0992,91,8
Fall 2018,2018,37005,Fall,9/4/18,1,Alleghany,Fall 2018,36.4705,-81.1261,94,5
Fall 2018,2018,37003,Fall,9/4/18,1,Alexander,Fall 2018,35.9161,-81.181,68,22
Fall 2018,2018,37001,Fall,9/4/18,1,Alamance,Fall 2018,36.0473,-79.4006,12,269
