Data Term,Data Year,Row,Term Type,Updated,County Count,County,Data Term,Latitude (generated),Longitude (generated),Rank of Headcount Rank,Headcount
Spring 2018,2018,37157,Spring,1/29/18,1,Rockingham,Spring 2018,36.3943,-79.7777,35,71
Spring 2018,2018,37155,Spring,1/29/18,1,Robeson,Spring 2018,34.6272,-79.1436,41,60
Spring 2018,2018,37153,Spring,1/29/18,1,Richmond,Spring 2018,34.9947,-79.7277,53,36
Spring 2018,2018,37151,Spring,1/29/18,1,Randolph,Spring 2018,35.7161,-79.8027,22,132
Spring 2018,2018,37149,Spring,1/29/18,1,Polk,Spring 2018,35.2971,-82.1763,57,29
Spring 2018,2018,37147,Spring,1/29/18,1,Pitt,Spring 2018,35.5808,-77.3685,16,189
Spring 2018,2018,37145,Spring,1/29/18,1,Person,Spring 2018,36.3907,-78.9725,54,35
Spring 2018,2018,37143,Spring,1/29/18,1,Perquimans,Spring 2018,36.2279,-76.4477,99,1
Spring 2018,2018,37141,Spring,1/29/18,1,Pender,Spring 2018,34.5169,-77.9241,42,59
Spring 2018,2018,37139,Spring,1/29/18,1,Pasquotank,Spring 2018,36.3172,-76.3078,69,20
Spring 2018,2018,37137,Spring,1/29/18,1,Pamlico,Spring 2018,35.1476,-76.8618,85,9
Spring 2018,2018,37135,Spring,1/29/18,1,Orange,Spring 2018,36.0541,-79.1222,3,1235
Spring 2018,2018,37133,Spring,1/29/18,1,Onslow,Spring 2018,34.7213,-77.2486,19,145
Spring 2018,2018,37131,Spring,1/29/18,1,Northampton,Spring 2018,36.3559,-77.3693,79,12
Spring 2018,2018,37129,Spring,1/29/18,1,New Hanover,Spring 2018,34.159,-77.8974,9,375
Spring 2018,2018,37127,Spring,1/29/18,1,Nash,Spring 2018,35.9636,-77.977,29,89
Spring 2018,2018,37125,Spring,1/29/18,1,Moore,Spring 2018,35.2784,-79.4623,21,136
Spring 2018,2018,37123,Spring,1/29/18,1,Montgomery,Spring 2018,35.3237,-79.8985,74,16
Spring 2018,2018,37121,Spring,1/29/18,1,Mitchell,Spring 2018,35.9917,-82.1267,91,6
Spring 2018,2018,37119,Spring,1/29/18,1,Mecklenburg,Spring 2018,35.2586,-80.831,2,1990
Spring 2018,2018,37117,Spring,1/29/18,1,Martin,Spring 2018,35.8669,-77.195,81,11
Spring 2018,2018,37115,Spring,1/29/18,1,Madison,Spring 2018,35.8721,-82.6653,75,15
Spring 2018,2018,37113,Spring,1/29/18,1,Macon,Spring 2018,35.1625,-83.4796,59,27
Spring 2018,2018,37111,Spring,1/29/18,1,Mcdowell,Spring 2018,35.7389,-82.0433,64,22
Spring 2018,2018,37109,Spring,1/29/18,1,Lincoln,Spring 2018,35.485,-81.2181,25,100
Spring 2018,2018,37107,Spring,1/29/18,1,Lenoir,Spring 2018,35.2179,-77.6761,49,40
Spring 2018,2018,37105,Spring,1/29/18,1,Lee,Spring 2018,35.4674,-79.1892,36,70
Spring 2018,2018,37103,Spring,1/29/18,1,Jones,Spring 2018,35.0101,-77.4145,97,4
Spring 2018,2018,37101,Spring,1/29/18,1,Johnston,Spring 2018,35.5376,-78.3875,18,153
Spring 2018,2018,37099,Spring,1/29/18,1,Jackson,Spring 2018,35.2632,-83.1162,55,34
Spring 2018,2018,37097,Spring,1/29/18,1,Iredell,Spring 2018,35.7741,-80.9217,12,263
Spring 2018,2018,37095,Spring,1/29/18,1,Hyde,Spring 2018,35.5164,-76.2309,94,5
Spring 2018,2018,37093,Spring,1/29/18,1,Hoke,Spring 2018,35.0238,-79.2598,83,10
Spring 2018,2018,37091,Spring,1/29/18,1,Hertford,Spring 2018,36.3931,-77.031,77,14
Spring 2018,2018,37089,Spring,1/29/18,1,Henderson,Spring 2018,35.3228,-82.4741,24,103
Spring 2018,2018,37087,Spring,1/29/18,1,Haywood,Spring 2018,35.5419,-82.9658,64,22
Spring 2018,2018,37085,Spring,1/29/18,1,Harnett,Spring 2018,35.3877,-78.839,32,80
Spring 2018,2018,37083,Spring,1/29/18,1,Halifax,Spring 2018,36.2584,-77.6848,48,46
Spring 2018,2018,37081,Spring,1/29/18,1,Guilford,Spring 2018,36.0738,-79.7901,4,977
Spring 2018,2018,37079,Spring,1/29/18,1,Greene,Spring 2018,35.4999,-77.6675,94,5
Spring 2018,2018,37077,Spring,1/29/18,1,Granville,Spring 2018,36.2968,-78.6558,38,66
Spring 2018,2018,37075,Spring,1/29/18,1,Graham,Spring 2018,35.342,-83.8333,98,3
Spring 2018,2018,37073,Spring,1/29/18,1,Gates,Spring 2018,36.4284,-76.7105,91,6
Spring 2018,2018,37071,Spring,1/29/18,1,Gaston,Spring 2018,35.2834,-81.1822,14,223
Spring 2018,2018,37069,Spring,1/29/18,1,Franklin,Spring 2018,36.0416,-78.3303,50,39
Spring 2018,2018,37067,Spring,1/29/18,1,Forsyth,Spring 2018,36.1176,-80.2522,5,617
Spring 2018,2018,37065,Spring,1/29/18,1,Edgecombe,Spring 2018,35.9136,-77.578,67,21
Spring 2018,2018,37063,Spring,1/29/18,1,Durham,Spring 2018,36.0511,-78.8681,6,561
Spring 2018,2018,37061,Spring,1/29/18,1,Duplin,Spring 2018,34.951,-77.9078,51,38
Spring 2018,2018,37059,Spring,1/29/18,1,Davie,Spring 2018,35.9021,-80.5375,43,52
Spring 2018,2018,37057,Spring,1/29/18,1,Davidson,Spring 2018,35.7656,-80.2531,20,137
Spring 2018,2018,37055,Spring,1/29/18,1,Dare,Spring 2018,35.7741,-75.8627,40,63
Spring 2018,2018,37053,Spring,1/29/18,1,Currituck,Spring 2018,36.3115,-75.9312,67,21
Spring 2018,2018,37051,Spring,1/29/18,1,Cumberland,Spring 2018,35.051,-78.8717,10,368
Spring 2018,2018,37049,Spring,1/29/18,1,Craven,Spring 2018,35.2382,-77.1841,27,95
Spring 2018,2018,37047,Spring,1/29/18,1,Columbus,Spring 2018,34.215,-78.6198,64,22
Spring 2018,2018,37045,Spring,1/29/18,1,Cleveland,Spring 2018,35.3743,-81.5594,28,92
Spring 2018,2018,37043,Spring,1/29/18,1,Clay,Spring 2018,35.0738,-83.7498,88,8
Spring 2018,2018,37041,Spring,1/29/18,1,Chowan,Spring 2018,36.1793,-76.6506,71,17
Spring 2018,2018,37039,Spring,1/29/18,1,Cherokee,Spring 2018,35.1398,-84.0769,71,17
Spring 2018,2018,37037,Spring,1/29/18,1,Chatham,Spring 2018,35.678,-79.2599,17,173
Spring 2018,2018,37035,Spring,1/29/18,1,Catawba,Spring 2018,35.6888,-81.2042,15,212
Spring 2018,2018,37033,Spring,1/29/18,1,Caswell,Spring 2018,36.3928,-79.3352,83,10
Spring 2018,2018,37031,Spring,1/29/18,1,Carteret,Spring 2018,34.8384,-76.6488,38,66
Spring 2018,2018,37029,Spring,1/29/18,1,Camden,Spring 2018,36.3576,-76.171,79,12
Spring 2018,2018,37027,Spring,1/29/18,1,Caldwell,Spring 2018,35.9399,-81.5596,37,68
Spring 2018,2018,37025,Spring,1/29/18,1,Cabarrus,Spring 2018,35.3455,-80.5464,11,308
Spring 2018,2018,37023,Spring,1/29/18,1,Burke,Spring 2018,35.7795,-81.7535,26,98
Spring 2018,2018,37021,Spring,1/29/18,1,Buncombe,Spring 2018,35.6207,-82.5391,8,393
Spring 2018,2018,37019,Spring,1/29/18,1,Brunswick,Spring 2018,34.1198,-78.2512,31,83
Spring 2018,2018,37017,Spring,1/29/18,1,Bladen,Spring 2018,34.6121,-78.5716,77,14
Spring 2018,2018,37015,Spring,1/29/18,1,Bertie,Spring 2018,36.03,-76.985,88,8
Spring 2018,2018,37013,Spring,1/29/18,1,Beaufort,Spring 2018,35.4781,-76.6975,57,29
Spring 2018,2018,37011,Spring,1/29/18,1,Avery,Spring 2018,36.0994,-81.9277,81,11
Spring 2018,2018,37009,Spring,1/29/18,1,Ashe,Spring 2018,36.4146,-81.4996,71,17
Spring 2018,2018,37007,Spring,1/29/18,1,Anson,Spring 2018,35.0087,-80.0992,85,9
Spring 2018,2018,37005,Spring,1/29/18,1,Alleghany,Spring 2018,36.4705,-81.1261,90,7
Spring 2018,2018,37003,Spring,1/29/18,1,Alexander,Spring 2018,35.9161,-81.181,63,23
Spring 2018,2018,37001,Spring,1/29/18,1,Alamance,Spring 2018,36.0473,-79.4006,13,236
